wheel,mode,eps,k_shot,round,pick_seed,train_seed,imgsz,recall,map50,n_def_groups_total,n_train_pool_groups,n_train_def_tiles,n_test_def_tiles
L0316,B1_random_kshot,25,1,0,51000,9100,512,0.08333333333333333,0.031862032085561494,4,3,3,12
L0316,B1_random_kshot,25,1,1,51001,9101,512,0.5,0.3535633102899556,4,3,9,12
L0316,B1_random_kshot,25,1,2,51002,9102,512,0.9166666666666666,0.13158668000267137,4,3,9,12
L0316,B1_random_kshot,25,1,3,51003,9103,512,0.3333333333333333,0.24491059899518083,4,3,9,12
L0316,B1_random_kshot,25,1,4,51004,9104,512,1.0,0.09959299019737931,4,3,9,12
L0316,B1_random_kshot,25,1,5,51005,9105,512,0.3333333333333333,0.2558841032388051,4,3,9,12
L0316,B1_random_kshot,25,1,6,51006,9106,512,0.6666666666666666,0.31424305706432837,4,3,9,12
L0316,B1_random_kshot,25,1,7,51007,9107,512,0.48556606582893735,0.3781266455073217,4,3,9,12
L0316,B1_random_kshot,25,1,8,51008,9108,512,0.3333333333333333,0.4435888742723886,4,3,9,12
L0316,B1_random_kshot,25,1,9,51009,9109,512,0.0,0.0,4,3,3,12
L0316,B1_random_kshot,25,2,0,52000,9200,512,0.5185646081476629,0.5923355453560273,4,3,12,12
L0316,B1_random_kshot,25,2,1,52001,9201,512,0.4166666666666667,0.23993720085246126,4,3,12,12
L0316,B1_random_kshot,25,2,2,52002,9202,512,0.3333333333333333,0.3383436038039727,4,3,18,12
L0316,B1_random_kshot,25,2,3,52003,9203,512,0.5833333333333334,0.6646811854512797,4,3,18,12
L0316,B1_random_kshot,25,2,4,52004,9204,512,0.5,0.3753299812799813,4,3,18,12
L0316,B1_random_kshot,25,2,5,52005,9205,512,0.4166666666666667,0.2183094411025446,4,3,12,12
L0316,B1_random_kshot,25,2,6,52006,9206,512,0.4166666666666667,0.4174238139289019,4,3,12,12
L0316,B1_random_kshot,25,2,7,52007,9207,512,0.4680861107829888,0.4215938385896528,4,3,18,12
L0316,B1_random_kshot,25,2,8,52008,9208,512,0.5,0.0804067134924596,4,3,12,12
L0316,B1_random_kshot,25,2,9,52009,9209,512,1.0,0.15838011565532711,4,3,12,12
L0316,B1_random_kshot,25,3,0,53000,9300,512,0.6666666666666666,0.7867209517209517,4,3,21,12
L0316,B1_random_kshot,25,3,1,53001,9301,512,0.5,0.6973749610200617,4,3,21,12
L0316,B1_random_kshot,25,3,2,53002,9302,512,0.7367262847817473,0.6021031746031745,4,3,21,12
L0316,B1_random_kshot,25,3,3,53003,9303,512,0.6784501283963065,0.7773147065700258,4,3,21,12
L0316,B1_random_kshot,25,3,4,53004,9304,512,0.5833333333333334,0.7271031746031744,4,3,21,12
L0316,B1_random_kshot,25,3,5,53005,9305,512,0.5,0.6532589313451381,4,3,21,12
L0316,B1_random_kshot,25,3,6,53006,9306,512,0.5,0.6976842105263157,4,3,21,12
L0316,B1_random_kshot,25,3,7,53007,9307,512,0.5,0.5369453479477916,4,3,21,12
L0316,B1_random_kshot,25,3,8,53008,9308,512,0.6666666666666666,0.5788825343902743,4,3,21,12
L0316,B1_random_kshot,25,3,9,53009,9309,512,0.5833333333333334,0.24009902526851676,4,3,21,12
