wheel,label_format,defect_class_id,eps,tile_size,imgsz,fold,n_groups_total,k_shot,round,train_seed,recall,map50,n_train_pool_groups,n_train_def_tiles,n_test_def_tiles,n_train_bg_tiles,n_test_bg_tiles
L0316,seg,0,25,512,512,0,4,1,0,9100,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,0,4,1,1,9101,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,0,4,1,2,9102,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,0,4,1,3,9103,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,0,4,1,4,9104,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,0,4,1,5,9105,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,0,4,1,6,9106,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,0,4,1,7,9107,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,0,4,1,8,9108,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,0,4,1,9,9109,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,0,4,2,0,9200,0.2857142857142857,0.29955980367495516,3,15,9,21,21
L0316,seg,0,25,512,512,0,4,2,1,9201,0.42857142857142855,0.37042773234191945,3,15,9,21,21
L0316,seg,0,25,512,512,0,4,2,2,9202,0.3333333333333333,0.26483894386099466,3,15,9,21,21
L0316,seg,0,25,512,512,0,4,2,3,9203,0.38187288823358556,0.3842781748213304,3,15,9,21,21
L0316,seg,0,25,512,512,0,4,2,4,9204,0.2857142857142857,0.3480111728982573,3,15,9,21,21
L0316,seg,0,25,512,512,0,4,2,5,9205,0.38095238095238093,0.3017643547513836,3,15,9,21,21
L0316,seg,0,25,512,512,0,4,2,6,9206,0.2857142857142857,0.29869282292456123,3,15,9,21,21
L0316,seg,0,25,512,512,0,4,2,7,9207,0.2857142857142857,0.3045316216531233,3,15,9,21,21
L0316,seg,0,25,512,512,0,4,2,8,9208,0.3092893778779459,0.2992726290288775,3,15,9,21,21
L0316,seg,0,25,512,512,0,4,2,9,9209,0.2857142857142857,0.37003149271446856,3,15,9,21,21
L0316,seg,0,25,512,512,0,4,3,0,9300,0.3967817686475182,0.35771885371575685,3,24,9,21,21
L0316,seg,0,25,512,512,0,4,3,1,9301,0.42857142857142855,0.3750724038808533,3,24,9,21,21
L0316,seg,0,25,512,512,0,4,3,2,9302,0.6190476190476191,0.5141009650562071,3,24,9,21,21
L0316,seg,0,25,512,512,0,4,3,3,9303,0.38095238095238093,0.40309357276733154,3,24,9,21,21
L0316,seg,0,25,512,512,0,4,3,4,9304,0.38095238095238093,0.2512819077474249,3,24,9,21,21
L0316,seg,0,25,512,512,0,4,3,5,9305,0.38095238095238093,0.33281549255871656,3,24,9,21,21
L0316,seg,0,25,512,512,0,4,3,6,9306,0.47619047619047616,0.3099260041942569,3,24,9,21,21
L0316,seg,0,25,512,512,0,4,3,7,9307,0.5238095238095238,0.25421469909731503,3,24,9,21,21
L0316,seg,0,25,512,512,0,4,3,8,9308,0.38095238095238093,0.2884719215201352,3,24,9,21,21
L0316,seg,0,25,512,512,0,4,3,9,9309,0.38095238095238093,0.400460196904511,3,24,9,21,21
L0316,seg,0,25,512,512,1,4,1,0,10100,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,1,4,1,1,10101,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,1,4,1,2,10102,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,1,4,1,3,10103,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,1,4,1,4,10104,0.09090909090909091,0.01038607903284013,3,3,9,21,21
L0316,seg,0,25,512,512,1,4,1,5,10105,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,1,4,1,6,10106,0.09090909090909091,0.012446617647058823,3,3,9,21,21
L0316,seg,0,25,512,512,1,4,1,7,10107,0.06060606060606061,0.03098947368421053,3,3,9,21,21
L0316,seg,0,25,512,512,1,4,1,8,10108,0.0,0.0,3,3,9,21,21
L0316,seg,0,25,512,512,1,4,1,9,10109,0.030303030303030304,0.010188466220328665,3,3,9,21,21
L0316,seg,0,25,512,512,1,4,2,0,10200,0.5151515151515151,0.09181073839598339,3,12,9,21,21
L0316,seg,0,25,512,512,1,4,2,1,10201,0.30303030303030304,0.07358336953577072,3,12,9,21,21
L0316,seg,0,25,512,512,1,4,2,2,10202,0.7878787878787878,0.079628177992488,3,12,9,21,21
L0316,seg,0,25,512,512,1,4,2,3,10203,0.7272727272727273,0.08099808939343098,3,12,9,21,21
L0316,seg,0,25,512,512,1,4,2,4,10204,0.9090909090909091,0.06900349929032365,3,12,9,21,21
L0316,seg,0,25,512,512,1,4,2,5,10205,0.696969696969697,0.07114468605941064,3,12,9,21,21
L0316,seg,0,25,512,512,1,4,2,6,10206,0.8787878787878788,0.09873037972346645,3,12,9,21,21
L0316,seg,0,25,512,512,1,4,2,7,10207,0.7272727272727273,0.11767152918102906,3,12,9,21,21
L0316,seg,0,25,512,512,1,4,2,8,10208,0.8787878787878788,0.09176105003444625,3,12,9,21,21
L0316,seg,0,25,512,512,1,4,2,9,10209,0.7272727272727273,0.08516246393517776,3,12,9,21,21
L0316,seg,0,25,512,512,1,4,3,0,10300,0.6363636363636364,0.25887511776507555,3,24,9,21,21
L0316,seg,0,25,512,512,1,4,3,1,10301,0.42424242424242425,0.24365863891707898,3,24,9,21,21
L0316,seg,0,25,512,512,1,4,3,2,10302,0.5757575757575758,0.24827359679190103,3,24,9,21,21
L0316,seg,0,25,512,512,1,4,3,3,10303,0.6060606060606061,0.20325837333843452,3,24,9,21,21
L0316,seg,0,25,512,512,1,4,3,4,10304,0.5151515151515151,0.21385301797668355,3,24,9,21,21
L0316,seg,0,25,512,512,1,4,3,5,10305,0.3903306763695913,0.3207273617369745,3,24,9,21,21
L0316,seg,0,25,512,512,1,4,3,6,10306,0.8181818181818182,0.28331240147157244,3,24,9,21,21
L0316,seg,0,25,512,512,1,4,3,7,10307,0.42606032952504214,0.22793081259298695,3,24,9,21,21
L0316,seg,0,25,512,512,1,4,3,8,10308,0.42424242424242425,0.18427723949873048,3,24,9,21,21
L0316,seg,0,25,512,512,1,4,3,9,10309,0.6060606060606061,0.19360441730282693,3,24,9,21,21
L0316,seg,0,25,512,512,2,4,1,0,11100,1.0,0.1641246913542753,3,9,12,21,21
L0316,seg,0,25,512,512,2,4,1,1,11101,0.4166666666666667,0.3949832668941035,3,9,12,21,21
L0316,seg,0,25,512,512,2,4,1,2,11102,0.31307024207026984,0.4418529132318399,3,9,12,21,21
L0316,seg,0,25,512,512,2,4,1,3,11103,0.3333333333333333,0.3197625035521456,3,9,12,21,21
L0316,seg,0,25,512,512,2,4,1,4,11104,0.4166666666666667,0.38948087977952933,3,9,12,21,21
L0316,seg,0,25,512,512,2,4,1,5,11105,0.3605169030666795,0.3464512947803198,3,9,12,21,21
L0316,seg,0,25,512,512,2,4,1,6,11106,0.3333333333333333,0.25071114420171026,3,9,12,21,21
L0316,seg,0,25,512,512,2,4,1,7,11107,0.6666666666666666,0.14155337913289523,3,9,12,21,21
L0316,seg,0,25,512,512,2,4,1,8,11108,0.5,0.46750553077436197,3,9,12,21,21
L0316,seg,0,25,512,512,2,4,1,9,11109,0.4166666666666667,0.45909696365882774,3,9,12,21,21
L0316,seg,0,25,512,512,2,4,2,0,11200,0.3333333333333333,0.290839078811505,3,12,12,21,21
L0316,seg,0,25,512,512,2,4,2,1,11201,0.3333333333333333,0.21977638795198054,3,12,12,21,21
L0316,seg,0,25,512,512,2,4,2,2,11202,0.4166666666666667,0.32791254758822186,3,12,12,21,21
L0316,seg,0,25,512,512,2,4,2,3,11203,0.4166666666666667,0.5339888655462183,3,12,12,21,21
L0316,seg,0,25,512,512,2,4,2,4,11204,0.3333333333333333,0.3920459767781289,3,12,12,21,21
L0316,seg,0,25,512,512,2,4,2,5,11205,0.5,0.4881869306629441,3,12,12,21,21
L0316,seg,0,25,512,512,2,4,2,6,11206,0.4166666666666667,0.22716616643387033,3,12,12,21,21
L0316,seg,0,25,512,512,2,4,2,7,11207,0.4166666666666667,0.4734443156243607,3,12,12,21,21
L0316,seg,0,25,512,512,2,4,2,8,11208,0.3333333333333333,0.475902343371012,3,12,12,21,21
L0316,seg,0,25,512,512,2,4,2,9,11209,0.5,0.5155014086896086,3,12,12,21,21
L0316,seg,0,25,512,512,2,4,3,0,11300,0.6666666666666666,0.6547003284072248,3,21,12,21,21
L0316,seg,0,25,512,512,2,4,3,1,11301,0.5,0.6541690201112539,3,21,12,21,21
L0316,seg,0,25,512,512,2,4,3,2,11302,0.5,0.7373420498420497,3,21,12,21,21
L0316,seg,0,25,512,512,2,4,3,3,11303,0.5833333333333334,0.702119741713395,3,21,12,21,21
L0316,seg,0,25,512,512,2,4,3,4,11304,0.5833333333333334,0.7090551454856654,3,21,12,21,21
L0316,seg,0,25,512,512,2,4,3,5,11305,0.6666666666666666,0.723414217361586,3,21,12,21,21
L0316,seg,0,25,512,512,2,4,3,6,11306,0.4166666666666667,0.3749743607007683,3,21,12,21,21
L0316,seg,0,25,512,512,2,4,3,7,11307,0.6666666666666666,0.7551615416841225,3,21,12,21,21
L0316,seg,0,25,512,512,2,4,3,8,11308,0.5,0.47947868036103336,3,21,12,21,21
L0316,seg,0,25,512,512,2,4,3,9,11309,0.40440803664534464,0.54375,3,21,12,21,21
L0316,seg,0,25,512,512,3,4,1,0,12100,1.0,0.0025105130361648444,3,9,3,21,21
L0316,seg,0,25,512,512,3,4,1,1,12101,1.0,0.002310371517027863,3,9,3,21,21
L0316,seg,0,25,512,512,3,4,1,2,12102,1.0,0.000702022577610536,3,9,3,21,21
L0316,seg,0,25,512,512,3,4,1,3,12103,1.0,0.002866447026379438,3,9,3,21,21
L0316,seg,0,25,512,512,3,4,1,4,12104,1.0,0.0017558823529411766,3,9,3,21,21
L0316,seg,0,25,512,512,3,4,1,5,12105,1.0,0.0019312139921998353,3,9,3,21,21
L0316,seg,0,25,512,512,3,4,1,6,12106,1.0,0.0028594771241830064,3,9,3,21,21
L0316,seg,0,25,512,512,3,4,1,7,12107,1.0,0.0020877280265339973,3,9,3,21,21
L0316,seg,0,25,512,512,3,4,1,8,12108,1.0,0.002462871287128713,3,9,3,21,21
L0316,seg,0,25,512,512,3,4,1,9,12109,1.0,0.0018047158403869414,3,9,3,21,21
L0316,seg,0,25,512,512,3,4,2,0,12200,1.0,0.004083447332421342,3,18,3,21,21
L0316,seg,0,25,512,512,3,4,2,1,12201,1.0,0.0038122605363984682,3,18,3,21,21
L0316,seg,0,25,512,512,3,4,2,2,12202,1.0,0.005120068610634649,3,18,3,21,21
L0316,seg,0,25,512,512,3,4,2,3,12203,1.0,0.0017486818980667841,3,18,3,21,21
L0316,seg,0,25,512,512,3,4,2,4,12204,1.0,0.0027435661764705884,3,18,3,21,21
L0316,seg,0,25,512,512,3,4,2,5,12205,1.0,0.002837452471482889,3,18,3,21,21
L0316,seg,0,25,512,512,3,4,2,6,12206,1.0,0.0030615384615384623,3,18,3,21,21
L0316,seg,0,25,512,512,3,4,2,7,12207,1.0,0.00912844036697248,3,18,3,21,21
L0316,seg,0,25,512,512,3,4,2,8,12208,1.0,0.004853658536585367,3,18,3,21,21
L0316,seg,0,25,512,512,3,4,2,9,12209,1.0,0.003380520951302378,3,18,3,21,21
L0316,seg,0,25,512,512,3,4,3,0,12300,1.0,0.0033766968325791855,3,30,3,21,21
L0316,seg,0,25,512,512,3,4,3,1,12301,1.0,0.005685714285714285,3,30,3,21,21
L0316,seg,0,25,512,512,3,4,3,2,12302,1.0,0.010547703180212014,3,30,3,21,21
L0316,seg,0,25,512,512,3,4,3,3,12303,1.0,0.0059580838323353294,3,30,3,21,21
L0316,seg,0,25,512,512,3,4,3,4,12304,1.0,0.004117241379310344,3,30,3,21,21
L0316,seg,0,25,512,512,3,4,3,5,12305,1.0,0.0036050724637681168,3,30,3,21,21
L0316,seg,0,25,512,512,3,4,3,6,12306,1.0,0.003067831449126413,3,30,3,21,21
L0316,seg,0,25,512,512,3,4,3,7,12307,1.0,0.005642722117202269,3,30,3,21,21
L0316,seg,0,25,512,512,3,4,3,8,12308,1.0,0.005934393638170972,3,30,3,21,21
L0316,seg,0,25,512,512,3,4,3,9,12309,1.0,0.006560439560439559,3,30,3,21,21
